RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Alphen-Chaam;G1723;10710;Tilburg;K17;7858;6766;12;9;6745;2051;799;1425;671;329;614;183;44;154;219;13;13;104;27;21;0;48;11;5;2;4;1;3;2;2;;0;	
Ameland;G0060;11153;Leeuwarden;K2;2815;2761;2;4;2755;715;265;613;261;173;174;240;54;69;75;8;0;80;5;8;;2;8;4;;0;1;;0;0;;;	
Amersfoort;G0307;10948;Utrecht;K8;113869;96406;233;111;96062;20255;8611;9192;14970;11847;6766;5408;6585;3373;1988;910;3414;1404;286;401;123;147;91;;57;40;59;40;28;26;35;6;	
Amstelveen;G0362;10799;Haarlem;K10;59369;49859;143;67;49649;13926;4410;4016;8936;5338;2741;3438;1029;1911;1603;191;399;880;157;196;280;42;38;26;22;25;32;;13;;;;	
Amsterdam;G0363;11150;Amsterdam;K9;585340;461939;3007;907;458025;70249;31260;13562;86410;90572;29326;38279;6833;27553;8904;687;31512;5707;954;2506;11424;459;384;204;458;239;270;;150;123;;;	
Apeldoorn;G0200;11075;Arnhem;K7;124494;102784;215;155;102414;22460;11773;12862;12410;8902;8364;5995;4938;3063;3307;3308;2010;1691;360;311;42;107;108;65;60;60;54;63;21;19;56;5;	
Appingedam;G0003;10886;Groningen;K1;9559;7363;21;12;7330;889;1095;1033;605;559;1431;673;317;161;270;24;85;98;19;13;6;10;13;16;6;6;0;;0;1;;;	
Arnhem;G0202;10795;Arnhem;K7;117588;90460;308;134;90018;15398;10622;6093;14765;13047;9036;5784;2180;4658;2087;221;3268;1369;237;424;224;108;90;50;68;54;34;69;46;23;59;4;	
Assen;G0106;10522;Assen;K3;51841;42425;89;57;42279;6993;4193;4834;5221;4355;5050;3851;3536;1299;1152;332;215;681;136;167;;71;52;40;;41;16;;34;10;;;	
Asten;G0743;10478;'s-Hertogenbosch;K18;12769;10748;24;18;10706;2942;1320;2201;1026;586;1304;366;51;214;383;17;10;172;26;24;1;9;15;14;6;5;3;;6;2;;3;	
Baarle-Nassau;G0744;10060;Tilburg;K17;5199;4197;7;3;4187;1044;726;918;313;214;413;126;23;117;167;9;8;67;9;6;0;9;3;3;2;1;4;3;1;1;;0;	
Baarn;G0308;11411;Utrecht;K8;19076;15916;29;18;15869;4438;1529;1764;2394;1413;931;862;586;593;417;192;246;298;57;48;15;14;14;;8;7;7;4;2;22;8;0;	
Barendrecht;G0489;10943;Dordrecht;K14;35807;30263;58;41;30164;7715;4699;3570;3008;1848;1784;1331;1235;737;1061;1294;621;787;161;74;86;41;28;24;11;10;14;16;5;1;;3;	
Barneveld;G0203;10906;Arnhem;K7;40971;36187;71;31;36085;6384;3557;6880;1728;973;1159;698;4232;402;729;8136;373;481;105;57;10;32;37;16;10;22;9;34;5;8;8;0;	
Bedum;G0005;10425;Groningen;K1;8162;6996;9;6;6981;854;503;1446;682;664;885;546;828;186;138;97;0;85;12;20;0;6;9;10;4;5;1;;0;0;;;	
Beek;G0888;11374;Maastricht;K19;13040;10842;27;21;10794;2040;2138;1824;1232;636;1213;397;65;276;524;12;45;272;40;34;1;14;10;;9;5;7;;0;0;;;	
Beemster;G0370;10816;Den Helder;K11;7244;6277;7;7;6263;2277;652;723;759;451;308;401;44;227;159;19;12;151;28;13;6;2;8;7;6;3;4;;1;;;;2	
Beesel;G0889;10195;Maastricht;K19;10579;8270;33;11;8226;1566;1759;1262;804;493;1019;326;40;184;445;13;89;141;36;13;3;15;5;;3;7;3;;0;0;;;	
Bellingwedde;G0007;10340;Groningen;K1;7249;5809;8;4;5797;821;1123;555;402;411;1069;551;163;271;223;16;1;119;9;24;1;12;11;6;3;3;1;;1;1;;;	
Berg en Dal;G1945;10616;Nijmegen;K6;27887;23628;39;28;23561;4717;3567;3009;2630;2398;3487;1361;180;844;746;38;37;309;59;61;15;16;28;14;11;11;6;5;6;4;;2;	
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;14388;11931;20;24;11887;3057;1575;2631;1097;575;1386;393;93;252;422;33;6;204;62;26;5;10;12;30;6;4;1;;4;3;;0;	
Bergen;G0893;11281;Maastricht;K19;10428;8385;28;6;8351;1598;1589;1537;589;372;1699;244;38;165;318;11;8;120;26;10;1;9;11;;3;0;2;;1;0;;;	
Bergen;G0373;11424;Den Helder;K11;24099;20976;40;27;20909;6202;2236;2091;2654;2180;1212;1376;222;1203;630;35;15;438;215;60;6;44;34;11;10;12;11;;9;;;;3	
Bergen op Zoom;G0748;11037;Tilburg;K17;50851;40045;138;60;39847;9557;6878;4213;4113;3170;4243;1681;417;989;1628;63;1744;610;122;91;16;39;43;139;25;11;16;20;10;4;;5;	
Berkelland;G1859;10436;Arnhem;K7;35130;29796;65;30;29701;6702;2995;6099;3408;1973;3834;2017;419;575;782;80;69;382;118;54;12;24;64;33;15;9;4;2;10;2;17;2;	
Bernheze;G1721;10149;'s-Hertogenbosch;K18;23192;19048;30;27;18991;4835;2237;3845;2077;988;2901;641;108;275;555;21;43;281;59;44;12;16;25;10;2;7;2;;5;2;;0;	
Best;G0753;10442;'s-Hertogenbosch;K18;22244;18541;40;32;18469;4878;2356;2477;2258;1210;2194;697;403;412;800;39;225;279;86;42;8;19;27;25;13;8;8;;3;0;;2;	
